date,tmax,tmin,tav,数据检测1,数据检测2,相对湿度,风速,降水量
2016/1/1,5.2,-8.5,-1.266666667,0,0,72,1.833333333,0
2016/1/2,-1.3,-7.3,-3.9625,0,0,72.25,1.625,0
2016/1/3,-4,-11.9,-8.2625,0,0,63.125,1.625,0
2016/1/4,-3.9,-14.3,-8.8,0,0,49.5,1.5,0
2016/1/5,-5.8,-16.9,-11.65,0,0,50.375,1.625,0
2016/1/6,-4.2,-16.6,-11.55,0,0,62.375,1.25,0
2016/1/7,-4.5,-18.6,-11.1375,0,0,58.5,1.625,0
2016/1/8,-6.3,-15.6,-11.8375,0,0,60.625,1.125,0
2016/1/9,-2.6,-17.5,-10.9875,0,0,60.875,1.125,0
2016/1/10,-8.7,-17.7,-13.2,0,0,51.875,1.625,0
2016/1/11,-8.9,-20.2,-15.4375,0,0,56.375,1.375,0
2016/1/12,-8.6,-21,-15,0,0,55.375,1.375,0
2016/1/13,-6.6,-16.2,-11.4,0,0,48.125,1.75,0
2016/1/14,-4.8,-17.6,-12.35,0,0,56.625,1.5,0
2016/1/15,-3.5,-14.2,-9.5,0,0,63.125,2.25,0
2016/1/16,-6.9,-12.3,-9.975,0,0,60.625,3.5,0
2016/1/17,-10.7,-16.2,-13.9625,0,0,58,3,0.8
2016/1/18,-15.1,-22.3,-17.8375,0,0,46.625,2.25,0
2016/1/19,-14.1,-23.8,-18.375,0,0,52.125,1.625,0
2016/1/20,-11.2,-22.8,-17.7625,0,0,58.75,1.375,0
2016/1/21,-10,-20.9,-15.625,0,0,54.625,2.25,0
2016/1/22,-13.7,-20,-16.7625,0,0,45.125,2.625,0
2016/1/23,-18.1,-22.8,-20.125,0,0,38.25,2.5,0
2016/1/24,-12.8,-23,-18.4875,0,0,45.25,1.625,0
2016/1/25,-3.7,-21.9,-13.2875,0,0,51.625,1.75,0
2016/1/26,-4.2,-18.2,-11.325,0,0,51.5,1.125,0
2016/1/27,-1.5,-18.6,-10.35,0,0,51,1.625,0
2016/1/28,-2.6,-13.3,-9.05,0,0,47.125,2.5,0
2016/1/29,-7.3,-15.1,-12,0,0,36,2.75,0
2016/1/30,-10.8,-20.5,-15.3875,0,0,43.25,1.75,0
2016/1/31,-8.7,-22.5,-16.2375,0,0,50.375,1.25,0
2016/2/1,-5.2,-20.6,-13.6875,0,0,51.625,1.25,0
2016/2/2,-2.9,-18.4,-11.75,0,0,53.75,1.375,0
2016/2/3,1.2,-17.5,-7.1375,0,0,43.875,2.125,0
2016/2/4,-1.8,-10.2,-6.425,0,0,34,2.125,0
2016/2/5,-3.5,-15.8,-9.8625,0,0,55.25,1.125,0
2016/2/6,-2.7,-17,-10.625,0,0,56.125,1,0
2016/2/7,2.7,-14.9,-6.0375,0,0,61.5,2.25,0
2016/2/8,0,-10.2,-4.7,0,0,54.125,1.125,0
2016/2/9,2.7,-15.1,-6.3625,0,0,57,1.375,0
2016/2/10,8.4,-9,-1,0,0,51.375,1.875,0
2016/2/11,12.6,-4,4.25,0,0,62,2.125,0.2
2016/2/12,7.2,1,4.45,0,0,87.375,1.75,4
2016/2/13,-0.5,-6.7,-4.025,0,0,67.75,5.25,5.8
2016/2/14,-8.9,-15.3,-11.5625,0,0,47.375,3.875,0
2016/2/15,-4.4,-18.8,-10.0125,0,0,55.75,3,0
2016/2/16,0,-9,-3.7,0,0,53.5,2.5,0
2016/2/17,4.3,-11.6,-1.7,0,0,48.25,3.625,0
2016/2/18,3.1,-6.8,-1.175,0,0,49.875,2.375,0
2016/2/19,1.7,-8.2,-2.325,0,0,36.5,1.875,0
2016/2/20,-0.6,-11.7,-4.8625,0,0,32.5,2.75,0
2016/2/21,-3.1,-10.9,-7.3625,0,0,34.125,1.375,0
2016/2/22,0.1,-8.9,-3.85,0,0,62.25,2.625,2
2016/2/23,-5.4,-17.3,-10.475,0,0,48.25,1.875,0
2016/2/24,-1.1,-18.7,-9.325,0,0,65,1.375,0
2016/2/25,-2.8,-13.3,-7.4,0,0,43.42857143,1.428571429,0
2016/2/26,1.2,-12.3,-4.575,0,0,48.25,2.125,0
2016/2/27,1.6,-9.6,-4.0125,0,0,48.5,1.75,0
2016/2/28,-0.6,-13.1,-6.1625,0,0,60.25,2.625,0
2016/2/29,-3.9,-11,-7.3,0,0,44.625,2.625,0.2
2016/3/1,4.7,-8.4,-1.4625,0,0,49.25,3.25,0
2016/3/2,9.9,-3.6,2.2375,0,0,47.75,1.875,0
2016/3/3,9.6,-2,2.7125,0,0,63.125,2.25,0
2016/3/4,13.2,-1.6,5.775,0,0,79.625,1.875,0
2016/3/5,4.6,-2.5,1.9375,0,0,80.25,1.875,7
2016/3/6,6.9,-4,2.1625,0,0,62.125,1.5,0
2016/3/7,2.2,-3.9,-1.1625,0,0,68.875,2.125,0.3
2016/3/8,-1.2,-6.5,-3.5875,0,0,32.625,3.75,0.2
2016/3/9,-1.2,-6.8,-4.25,0,0,35,2.625,0
2016/3/10,-1.1,-6.8,-4.125,0,0,31.625,3.375,0
2016/3/11,1.2,-9.8,-3.725,0,0,51,1.625,0
2016/3/12,8.6,-9.1,0.825,0,0,48.625,3,0
2016/3/13,3.6,-6.1,-1.125,0,0,33.75,2,0
2016/3/14,9.2,-9.1,1.6375,0,0,42.625,2.5,0
2016/3/15,14.6,-5,5.7375,0,0,47.25,3.625,0
2016/3/16,14.1,4.5,8.9125,0,0,43.625,4,0
2016/3/17,13.4,3.4,8.1125,0,0,54.75,4,0
2016/3/18,14.4,6.4,10.075,0,0,46.875,3.5,0
2016/3/19,9.8,1.3,5.3625,0,0,41.125,3.125,0
2016/3/20,12.1,-3.6,3.9625,0,0,43.5,1.875,0
2016/3/21,17.3,-3.9,7.9375,0,0,43.875,3.5,0
2016/3/22,10.4,2.3,6.05,0,0,50.75,4.375,0
2016/3/23,7.7,-2.1,3.375,0,0,36.25,2.625,0
2016/3/24,8.3,-6.1,2.825,0,0,40.25,2.5,0
2016/3/25,10.7,-6,3.0625,0,0,41.375,1.625,0
2016/3/26,13.8,-4,5.075,0,0,44.375,1.375,0
2016/3/27,17.9,-3,7.8875,0,0,41.75,1.875,0
2016/3/28,19.3,1.5,11.175,0,0,32.125,3.125,0
2016/3/29,14.9,5.7,10.6,0,0,35.375,2.125,0
2016/3/30,14.6,-1.8,7.0875,0,0,38.25,1.25,0
2016/3/31,21.9,8.9,15.8,0,0,34,4.75,0
2016/4/1,14.2,8.4,11.4875,0,0,59,3,13
2016/4/2,12.7,3.3,9.15,0,0,37.625,2.25,0
2016/4/3,14.4,0.6,8.7,0,0,33.75,2.5,0
2016/4/4,18.7,0.2,11.2125,0,0,31.5,3.75,0
2016/4/5,15.2,6.7,10.55,0,0,33.75,1.875,0
2016/4/6,20.4,6.3,13.975,0,0,33.25,4.625,0
2016/4/7,15.1,3.7,11.3,0,0,24.875,3.5,0
2016/4/8,19,1.1,11.55,0,0,21,5.875,0
2016/4/9,10.6,4.5,7.3625,0,0,13.125,4.125,0
2016/4/10,8.9,3.4,6.242857143,0,0,20.14285714,3.142857143,0
2016/4/11,14.4,-4.2,7.3375,0,0,27.25,2.25,0
2016/4/12,11.3,7.3,9.225,0,0,67.5,2.625,19.2
2016/4/13,14.7,6.2,9.8125,0,0,83.625,2.625,0
