date,tmax,tmin
1980-06-28,85.0,71.0
1981-06-28,95.0,69.0
1982-06-28,89.0,67.0
1983-06-28,85.0,63.0
1984-06-28,94.0,67.0
1985-06-28,89.0,72.0
1986-06-28,89.0,69.0
1987-06-28,79.0,66.0
1988-06-28,88.0,72.0
1989-06-28,94.0,70.0
1990-06-28,85.0,67.0
1991-06-28,84.0,69.0
1992-06-28,85.0,69.0
1993-06-28,71.0,65.0
1994-06-28,94.0,76.0
1995-06-28,91.0,69.0
1996-06-28,73.0,68.0
1997-06-28,92.0,71.0
1998-06-28,99.0,76.0
1999-06-28,95.0,72.0
2000-06-28,89.0,72.0
2001-06-28,84.0,72.0
2002-06-28,79.0,66.0
2003-06-28,87.0,65.0
2004-06-28,90.0,76.0
2005-06-28,89.0,69.0
2006-06-28,89.0,73.0
2007-06-28,86.0,69.0
2008-06-28,79.0,66.0
2009-06-28,96.0,74.0
2010-06-28,88.0,74.0
2011-06-28,92.0,72.0
2012-06-28,78.0,69.0
